time	V(n002)
6.100000000000000e+000	2.576161e+000
6.142857142857142e+000	2.576418e+000
6.185714285714286e+000	2.576651e+000
6.228571428571429e+000	2.576860e+000
6.271428571428571e+000	2.577045e+000
6.314285714285715e+000	2.577206e+000
6.357142857142858e+000	2.577344e+000
6.400000000000000e+000	2.577458e+000
6.456000000082534e+000	2.577373e+000
6.500000000000000e+000	2.577146e+000
6.544800000066028e+000	2.576964e+000
6.600000000000000e+000	2.576982e+000
6.671428571428571e+000	2.577211e+000
6.742857142857143e+000	2.577409e+000
6.814285714285714e+000	2.577576e+000
6.885714285714285e+000	2.577712e+000
6.957142857142857e+000	2.577818e+000
7.028571428571429e+000	2.577892e+000
7.100000000000000e+000	2.577936e+000
7.169999999999999e+000	2.577688e+000
7.200000000000000e+000	2.577479e+000
7.256000000000000e+000	2.577225e+000
7.300000000000000e+000	2.577217e+000
7.344800000000000e+000	2.577206e+000
7.400000000000000e+000	2.576979e+000
7.456000000000007e+000	2.576814e+000
7.500000000000000e+000	2.576868e+000
7.544800000000005e+000	2.576907e+000
7.600000000000000e+000	2.576735e+000
7.655999999999844e+000	2.576613e+000
7.700000000000000e+000	2.576697e+000
7.900000000000000e+000	2.577429e+000
7.956000000003737e+000	2.577349e+000
8.000000000000000e+000	2.577126e+000
8.044800000002990e+000	2.576947e+000
8.100000000000000e+000	2.576968e+000
8.185714285714285e+000	2.577233e+000
8.271428571428571e+000	2.577459e+000
8.357142857142856e+000	2.577644e+000
8.442857142857143e+000	2.577791e+000
8.528571428571429e+000	2.577897e+000
8.614285714285714e+000	2.577964e+000
8.699999999999999e+000	2.577992e+000
8.769999999999998e+000	2.577731e+000
8.800000000000001e+000	2.577518e+000
8.856000000000000e+000	2.577257e+000
8.900000000000000e+000	2.577244e+000
9.100000000000000e+000	2.577696e+000
9.155999999999994e+000	2.577568e+000
9.199999999999999e+000	2.577312e+000
9.244799999999994e+000	2.576681e+000
9.300000000000001e+000	2.575567e+000
9.324000000000073e+000	2.575093e+000
9.356000000000169e+000	2.574712e+000
9.400000000000000e+000	2.574456e+000
9.500000000000000e+000	2.574590e+000
9.523999999998271e+000	2.574712e+000
9.555999999995965e+000	2.575052e+000
9.600000000000000e+000	2.575708e+000
9.619199999998617e+000	2.576012e+000
9.644799999996772e+000	2.576238e+000
9.699999999999999e+000	2.576382e+000
9.756000000096833e+000	2.576323e+000
9.800000000000001e+000	2.576450e+000
9.842857142857143e+000	2.576669e+000
9.885714285714286e+000	2.576868e+000
9.928571428571429e+000	2.577046e+000
9.971428571428572e+000	2.577204e+000
1.001428571428571e+001	2.577342e+000
1.005714285714286e+001	2.577459e+000
1.010000000000000e+001	2.577556e+000
1.015599999767599e+001	2.577453e+000
1.020000000000000e+001	2.577214e+000
1.024285714285714e+001	2.576912e+000
1.028571428571429e+001	2.576638e+000
1.032857142857143e+001	2.576392e+000
1.037142857142857e+001	2.576174e+000
1.041428571428572e+001	2.575984e+000
1.045714285714286e+001	2.575822e+000
1.050000000000000e+001	2.575688e+000
1.055600005577635e+001	2.575752e+000
1.060000000000000e+001	2.575964e+000
1.064480004462108e+001	2.576134e+000
1.070000000000000e+001	2.576103e+000
1.075599866136756e+001	2.576094e+000
1.080000000000000e+001	2.576255e+000
1.087142857142857e+001	2.576629e+000
1.094285714285714e+001	2.576953e+000
1.101428571428571e+001	2.577226e+000
1.108571428571429e+001	2.577449e+000
1.115714285714286e+001	2.577622e+000
1.122857142857143e+001	2.577744e+000
1.130000000000000e+001	2.577816e+000
1.135603212717865e+001	2.577667e+000
1.140000000000000e+001	2.577397e+000
1.142857142857143e+001	2.577169e+000
1.145714285714286e+001	2.576956e+000
1.148571428571429e+001	2.576758e+000
1.151428571428571e+001	2.576575e+000
1.154285714285714e+001	2.576408e+000
1.157142857142857e+001	2.576255e+000
1.160000000000000e+001	2.576118e+000
1.165522894771231e+001	2.576105e+000
1.171893563921565e+001	2.576415e+000
1.180000000000000e+001	2.577335e+000
1.183000000000000e+001	2.577582e+000
1.187000000000000e+001	2.577630e+000
1.190000000000000e+001	2.577511e+000
1.192857142857143e+001	2.577273e+000
1.195714285714286e+001	2.577051e+000
1.198571428571429e+001	2.576844e+000
1.201428571428571e+001	2.576654e+000
1.204285714285714e+001	2.576479e+000
1.207142857142857e+001	2.576319e+000
1.210000000000000e+001	2.576176e+000
1.217000000000000e+001	2.576188e+000
1.220000000000000e+001	2.576308e+000
1.224285714285714e+001	2.576546e+000
1.228571428571429e+001	2.576762e+000
1.232857142857143e+001	2.576955e+000
1.237142857142857e+001	2.577127e+000
1.241428571428572e+001	2.577276e+000
1.245714285714286e+001	2.577402e+000
1.250000000000000e+001	2.577507e+000
1.253000000000000e+001	2.577418e+000
1.257000000000000e+001	2.577062e+000
1.260000000000000e+001	2.576664e+000
1.265600000000000e+001	2.575983e+000
1.270000000000000e+001	2.575679e+000
1.300000000000000e+001	2.575166e+000
1.305600000000002e+001	2.575323e+000
1.310000000000000e+001	2.575599e+000
1.312857142857143e+001	2.575830e+000
1.315714285714286e+001	2.576046e+000
1.318571428571429e+001	2.576247e+000
1.321428571428572e+001	2.576431e+000
1.324285714285714e+001	2.576601e+000
1.327142857142857e+001	2.576755e+000
1.330000000000000e+001	2.576894e+000
1.335599999999957e+001	2.576909e+000
1.340000000000000e+001	2.576751e+000
1.350000000000000e+001	2.576195e+000
1.355600000001029e+001	2.576170e+000
1.360000000000000e+001	2.576319e+000
1.370000000000000e+001	2.576862e+000
1.375599999975304e+001	2.576883e+000
1.380000000000000e+001	2.576729e+000
1.390000000000000e+001	2.576180e+000
1.395600000592692e+001	2.576157e+000
1.400000000000000e+001	2.576308e+000
1.404480000474154e+001	2.576429e+000
1.410000000000000e+001	2.576344e+000
1.412399993903737e+001	2.576325e+000
1.415599985775386e+001	2.576495e+000
1.420000000000000e+001	2.576936e+000
1.421919995122990e+001	2.577160e+000
1.424479988620309e+001	2.577288e+000
1.430000000000000e+001	2.577240e+000
1.435600341390728e+001	2.577029e+000
1.440000000000000e+001	2.577050e+000
1.450000000000000e+001	2.577373e+000
1.455591806622535e+001	2.577303e+000
1.460000000000000e+001	2.577087e+000
1.462857142857143e+001	2.576887e+000
1.465714285714286e+001	2.576700e+000
1.468571428571429e+001	2.576527e+000
1.471428571428572e+001	2.576367e+000
1.474285714285714e+001	2.576220e+000
1.477142857142857e+001	2.576087e+000
1.480000000000000e+001	2.575967e+000
1.485796641059165e+001	2.575987e+000
1.490000000000000e+001	2.576160e+000
1.492875114583266e+001	2.576341e+000
1.495750229166533e+001	2.576509e+000
1.498625343749799e+001	2.576666e+000
1.501500458333065e+001	2.576810e+000
1.504375572916331e+001	2.576943e+000
1.507250687499598e+001	2.577063e+000
1.510125802082864e+001	2.577171e+000
1.511536401785312e+001	2.577192e+000
1.512947001487760e+001	2.577195e+000
1.514357601190208e+001	2.577181e+000
1.515768200892656e+001	2.577148e+000
1.517178800595104e+001	2.577098e+000
1.518589400297552e+001	2.577030e+000
1.520000000000000e+001	2.576944e+000
1.522857142857143e+001	2.576758e+000
1.525714285714286e+001	2.576584e+000
1.528571428571429e+001	2.576423e+000
1.531428571428572e+001	2.576273e+000
1.534285714285714e+001	2.576136e+000
1.537142857142857e+001	2.576012e+000
1.540000000000000e+001	2.575899e+000
1.547000000000000e+001	2.575972e+000
1.550000000000000e+001	2.576114e+000
1.552857142857143e+001	2.576298e+000
1.555714285714286e+001	2.576469e+000
1.558571428571429e+001	2.576628e+000
1.561428571428571e+001	2.576775e+000
1.564285714285714e+001	2.576910e+000
1.567142857142857e+001	2.577033e+000
1.570000000000000e+001	2.577143e+000
1.577000000000000e+001	2.577067e+000
1.580000000000000e+001	2.576924e+000
1.582400000000000e+001	2.576664e+000
1.585600000000000e+001	2.576158e+000
1.590000000000000e+001	2.575292e+000
1.591920000000000e+001	2.574942e+000
1.594480000000000e+001	2.574731e+000
1.600000000000000e+001	2.574769e+000
1.610000000000000e+001	2.575778e+000
1.614480000000000e+001	2.575974e+000
1.620000000000000e+001	2.575972e+000
1.625600000000012e+001	2.575986e+000
1.631920000000004e+001	2.576322e+000
1.640000000000000e+001	2.577264e+000
1.642399999999877e+001	2.577494e+000
1.645599999999713e+001	2.577581e+000
1.650000000000000e+001	2.577466e+000
1.660000000000000e+001	2.576695e+000
1.665600000006881e+001	2.576581e+000
1.670000000000000e+001	2.576669e+000
1.674480000005504e+001	2.576737e+000
1.680000000000000e+001	2.576596e+000
1.700000000000000e+001	2.575729e+000
1.707000000000000e+001	2.575839e+000
1.710000000000000e+001	2.575995e+000
1.714285714285714e+001	2.576274e+000
1.718571428571429e+001	2.576527e+000
1.722857142857143e+001	2.576754e+000
1.727142857142857e+001	2.576955e+000
1.731428571428571e+001	2.577129e+000
1.735714285714286e+001	2.577278e+000
1.740000000000000e+001	2.577400e+000
1.747000000000000e+001	2.577848e+000
1.750000000000000e+001	2.578132e+000
1.752400000000000e+001	2.578293e+000
1.755600000000000e+001	2.578296e+000
1.760000000000000e+001	2.578074e+000
1.761920000000000e+001	2.577930e+000
1.764480000000000e+001	2.577900e+000
1.770000000000000e+001	2.578141e+000
1.772399999999999e+001	2.578302e+000
1.775599999999997e+001	2.578303e+000
1.780000000000000e+001	2.578080e+000
1.787085714285714e+001	2.577446e+000
1.794171428571427e+001	2.576898e+000
1.801257142857141e+001	2.576436e+000
1.808342857142855e+001	2.576061e+000
1.815428571428568e+001	2.575771e+000
1.822514285714282e+001	2.575568e+000
1.829599999999995e+001	2.575452e+000
1.860000000000000e+001	2.575080e+000
1.865600000000062e+001	2.575252e+000
1.870000000000000e+001	2.575539e+000
1.874480000000049e+001	2.575770e+000
1.880000000000000e+001	2.575805e+000
1.900000000000000e+001	2.575343e+000
1.907000000000000e+001	2.575537e+000
1.910000000000000e+001	2.575725e+000
1.915600000000000e+001	2.575948e+000
1.920000000000000e+001	2.575934e+000
1.924480000000000e+001	2.575927e+000
1.930000000000000e+001	2.576134e+000
1.935600000000002e+001	2.576284e+000
1.940000000000000e+001	2.576220e+000
1.960000000000000e+001	2.575545e+000
